step,weight_total
1,1.9689895838416032
2,1.9967312698933881
3,1.8925943213392935
4,1.9585419934627382
5,1.833798574164247
6,1.9832957245954863
7,1.806558408186706
8,1.8501463757671555
9,1.7630063075301312
10,2.0686645559425236
11,1.8835233866477448
12,2.155131770857381
13,1.7451513759392165
14,2.004802907320147
15,1.6008810038932186
16,1.8553091123128993
17,1.5044314135878036
18,1.7147414419456959
19,1.3514405499054312
20,1.5381700954625208
21,1.453881387027547
22,1.3018194557678782
23,1.373489426640415
24,1.361090416992182
25,1.1878718027584219
26,1.3288406780143391
27,1.176750147147606
28,1.09670808050854
29,1.1971080297008343
30,1.1223407236099814
31,1.0863055721135104
32,1.1875445914995182
33,1.0694563123739091
34,1.1331648711251754
35,1.030779039645584
36,1.124259210262673
37,1.016443198330092
38,1.100934014320308
39,1.1314562785337712
40,1.0019509474375854
41,1.0660504758605187
42,1.0015507715748626
43,1.0
44,1.0198863100159519
45,1.0470720600073673
46,0.9999999999999999
47,1.1119553204002237
48,0.9999999999999999
49,0.9999999999999999
